,Name,Address,LevelNo,LotSize,SPADate,ActualPrice,PredictedPrice
16710,11 MONT KIARA,"D-30-2, JALAN KIARA 1",30,3315,2016-10-20,2500000,2807220.75
4104,WANGSA MAJU SEKSYEN 1,"102, OFF JALAN 3/27A, OFF JALAN 1/27A",2,531,2016-10-20,238000,167482.921875
29659,DESA PANDAN FLAT BLOCK B,"B13-4-6, DESA PANDAN",4,721,2016-10-20,130000,171576.21875
11900,SERI MAS,"5-9-1, JALAN 4/89A",9,958,2016-10-20,365000,327316.71875
36724,BUKIT ANGGERIK,"35-3, JALAN 2/154",35,603,2016-10-20,56000,88728.671875
35324,PRIMA DAMANSARA,"8D-1-1 (D31), JALAN CHEMPENAI",1,1356,2016-10-20,1300000,1241326.0
12905,VISTA MUTIARA,"B-18-19, BATU 61/2, JALAN KEPONG",18,1001,2016-10-20,485000,405990.8125
38131,SUTERA BUKIT TUNKU,"B-3-2, JALAN TUN ISMAIL",3,5522,2016-10-20,3700000,2854916.25
33095,LAMAN SURIA,"00-05, OFF JALAN BUKIT KIARA BAYU",0,506,2016-10-20,67100,388375.3125
19866,PUTRA SURIA RESIDENSI,"B-15-6, JALAN JELAWAT 2",15,748,2016-10-20,380000,354115.75
3077,ROYAL DOMAIN SRI PUTRAMAS 2,"B2-26-01, JALAN PUTRAMAS",26,1173,2016-10-20,560000,550422.8125
3078,ROYAL DOMAIN SRI PUTRAMAS 2,"A1-15-07, JALAN PUTRAMAS",15,1130,2016-10-20,580000,557044.375
38132,SUTERA BUKIT TUNKU,"B-3-1, JALAN TUN ISMAIL",3,5522,2016-10-20,3700000,2854916.25
12095,HAMPSHIRE RESIDENCES,"M1B-4-210, PERSIARAN HAMPSHIRE OFF JALAN AMPANG",4,2852,2016-10-20,2187000,2138241.5
5625,KETUMBAR HEIGHTS,"A-10-5, JALAN 6/95B",10,755,2016-10-21,315000,306683.09375
20545,BAYU TASIK 2,"A-4-9, JALAN PERMAISURI 5",4,926,2016-10-21,420000,389685.71875
26348,WINNER COURT B,"16-4-10, JALAN 1/125A",4,829,2016-10-21,320000,284758.3125
34416,THE OVAL,"36-1, LORONG KUDA",36,7793,2016-10-21,7500000,7773201.5
24281,MANDA'RINA COURT,"B-3A-1, JALAN 10/142",3,775,2016-10-21,360000,311992.25
28171,SERI MALAYSIA,"09-27, JALAN 3/141",9,657,2016-10-21,150000,111763.6171875
22512,SEGAR APARTMENT,"D-04-173, JALAN 1A",4,667,2016-10-21,160000,181202.171875
9447,MERCU SUMMER SUITES,"B-23-05, 8 JALAN CENDANA",23,493,2016-10-21,480000,488549.59375
25032,BUSTAN SHAMELIN,"13-2-9, JALAN 2/91A",2,1023,2016-10-21,330000,274463.25
35156,PKNS KAMPUNG BARU,"20R, RAJA MUDA MUSA",4,843,2016-10-21,225000,190487.609375
36497,ANGSA APARTMENT,"M1-4-25, JALAN 6-38A",4,753,2016-10-21,298000,270090.34375
14272,LA GRANDE KIARA,"A-13-3A, JALAN DUTA KIARA",13,1991,2016-10-21,1050000,1017864.75
17877,DESA TUN RAZAK,"4-2-4, JALAN 16/118B",2,657,2016-10-21,150000,146770.78125
4103,WANGSA MAJU SEKSYEN 1,"M1-2-4, OFF JALAN 3/27A, OFF JALAN 1/27A",2,531,2016-10-21,200000,167482.921875
27052,BAM VILLAS,"42C-3-5, JALAN PRIA",3,1173,2016-10-21,400000,396445.71875
27449,MANDY VILLA,"A-05-02, JALAN SEGAMBUT",5,1012,2016-10-21,400000,333951.09375
36596,KELOMPOK DAHLIA / MELATI,"7-3-1 (K.DAHLIA), JALAN 15/56, AMPANG/ULU KLANG",3,549,2016-10-21,170000,129626.5859375
12630,TWINS@ DAMANSARA HEIGHTS,"B-23A-3, NO. 2, JALAN DAMANLEL",23,1195,2016-10-21,1160000,1130740.375
